우편번호|우편일련번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리|산여부|지번본번|읍면동일련번호|지번부번
135800|061|서울특별시|Seoul|강남구|Gangnam-gu|||116803122006|선릉로|Seolleung-ro|0|50|0|1168010300101720011019426||경빌딩|1168010300|개포동||0|172|02|11
135961|001|서울특별시|Seoul|강남구|Gangnam-gu|||116804166055|개포로22길|Gaepo-ro 22-gil|0|78|0|1168010300101840008020949||경빌딩|1168010300|개포동||0|1184|01|8
135993|021|서울특별시|Seoul|강남구|Gangnam-gu|||116802122002|영동대로|Yeongdong-daero|0|101|0|1168010300101840000019087||개원중학교|1168010300|개포동||0|184|01|0
135810|001|서울특별시|Seoul|강남구|Gangnam-gu|||116803122006|선릉로|Seolleung-ro|0|29|0|1168010300106600010019609||개원초등학교|1168010300|개포동||0|660|02|10
135804|001|서울특별시|Seoul|강남구|Gangnam-gu|||116804166689|영동대로3길|Yeongdong-daero 3-gil|0|5|0|1168010300101890001019898||개원파출소|1168010300|개포동||0|189|01|1
135800|061|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|401|0|1168010300101740000019173||개일초등학교|1168010300|개포동||0|174|01|0
135962|001|서울특별시|Seoul|강남구|Gangnam-gu|||116804166111|논현로10길|Nonhyeon-ro 10-gil|0|19|0|1168010300111970005000001||개포119안전센터|1168010300|개포동||0|1197|01|5
135802|011|서울특별시|Seoul|강남구|Gangnam-gu|||116803122006|선릉로|Seolleung-ro|0|36|0|1168010300101670011019530||개포1동우체국|1168010300|개포동||0|167|02|11
135810|001|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|310|17|1168010300106600007020092||개포1동주민센터|1168010300|개포동||0|660|01|7
135993|021|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|511|0|1168010300101820000020839||개포2동주민센터|1168010300|개포동||0|182|01|0
135962|001|서울특별시|Seoul|강남구|Gangnam-gu|||116804166066|개포로38길|Gaepo-ro 38-gil|0|12|0|1168010300112110004000001||개포4동주민센터|1168010300|개포동||0|1211|01|4
135800|061|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|402|0|1168010300101730000019211||개포고등학교|1168010300|개포동||0|173|01|0
135802|001|서울특별시|Seoul|강남구|Gangnam-gu|||116804166483|선릉로4길|Seolleung-ro 4-gil|0|30|0|1168010300101390000019499||개포도서관|1168010300|개포동||0|139|01|0
135808|011|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|265|0|1168010300106550004019666||개포동 메디시스빌딩|1168010300|개포동||0|655|01|4
135800|061|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|405|0|1168010300101760001026807||개포동상지리츠빌|1168010300|개포동||0|176|01|1
135240|001|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|1|420|0|1168010300101950000020868||개포동역|1168010300|개포동||0|195|01|0
